date,open,high,low,close,volume
2025-03-12,170.75,171.93,170.34,170.9,4106715
2025-03-13,170.32,174.47,169.82,173.44,8996322
2025-03-14,173.41,175.02,173.18,174.7,7779405
2025-03-17,176.02,176.44,172.62,173.06,5939819
2025-03-18,171.89,173.86,167.17,167.24,4876156
2025-03-19,167.53,168.76,163.97,165.98,5395024
2025-03-20,166.29,169.07,166.1,168.27,6619113
2025-03-21,168.16,168.69,166.24,166.83,2401115
2025-03-24,166.96,167.82,166.24,167.46,5446164
2025-03-25,168.9,169.49,168.3,168.98,4916292
2025-03-26,167.91,167.97,165.8,167.66,6132168
2025-03-27,168.53,169.21,165.95,167.09,5374352
2025-03-28,167.44,169.45,165.34,165.9,2716726
2025-03-31,166.36,166.36,165.09,165.55,5468639
2025-04-01,163.86,164.62,160.32,161.58,7283783
2025-04-02,163.04,163.79,157.19,159.02,6936320
2025-04-03,159.22,161.14,156.43,157.04,2730621
2025-04-04,157.27,157.38,155.45,155.89,6648192
2025-04-07,154.78,157.06,154.01,155.37,5252778
2025-04-08,155.53,156.13,154.15,154.24,3867478
2025-04-09,155.6,157.24,155.01,157.08,4058764
2025-04-10,158.05,158.49,157.6,157.77,5739691
2025-04-11,157.68,159.3,156.9,159.13,5806860
2025-04-14,159.04,159.94,156.7,157.4,3818614
2025-04-15,158.08,159.57,155.83,157.99,5029066
2025-04-16,156.77,156.84,154.66,156.05,4699408
2025-04-17,156.27,156.99,154.7,155.41,7144020
2025-04-18,155.29,155.64,152.86,153.74,4178374
2025-04-21,154.11,156.16,152.82,155.46,4339421
2025-04-22,156.34,156.71,153.74,154.85,5986850
2025-04-23,154.85,155.37,152.06,152.64,3891338
2025-04-24,152.15,154.54,151.82,152.6,5208691
2025-04-25,152.15,154.61,151.6,154.04,4195980
2025-04-28,154.58,154.89,151.2,151.77,5083852
2025-04-29,151.93,153.03,151.72,152.0,4622009
2025-04-30,151.08,152.87,149.76,152.39,4103054
2025-05-01,152.41,152.49,152.29,152.3,2942552
2025-05-02,152.93,155.18,150.87,154.13,4617239
2025-05-05,154.1,155.92,152.5,154.12,5582921
2025-05-06,152.99,154.85,147.02,148.25,6282830
2025-05-07,147.61,148.64,146.67,147.21,3677646
2025-05-08,148.18,148.86,146.3,146.41,5029653
2025-05-09,147.45,148.73,146.95,147.66,4312659
2025-05-12,148.2,148.99,147.43,148.88,4365804
2025-05-13,148.78,150.47,148.69,149.1,4579041
2025-05-14,148.32,150.07,148.01,149.54,2718068
2025-05-15,150.32,151.02,146.98,147.92,3398635
2025-05-16,147.86,148.88,146.67,147.99,6798533
2025-05-19,146.53,147.24,142.85,143.98,4533635
2025-05-20,144.07,145.46,143.99,145.27,4067920
2025-05-21,146.21,146.51,144.89,145.34,5127588
2025-05-22,145.22,146.1,144.25,144.94,6696850
2025-05-23,145.12,147.14,144.31,146.4,5364028
2025-05-26,146.56,148.14,145.7,148.08,5028618
2025-05-27,146.68,147.04,145.58,146.67,5181532
2025-05-28,147.35,148.25,146.1,147.35,3836318
2025-05-29,146.34,147.63,145.84,147.45,5088117
2025-05-30,148.22,150.69,147.98,150.11,4360605
2025-06-02,148.89,151.17,148.88,150.1,4408169
2025-06-03,150.92,151.08,146.54,146.67,4314971
2025-06-04,147.69,149.64,147.61,149.41,4534371
2025-06-05,149.03,150.26,145.79,146.69,5957799
2025-06-06,145.89,151.31,145.73,149.53,3914935
2025-06-09,148.88,150.45,148.85,149.63,6306373
2025-06-10,148.5,153.5,147.4,152.07,3303630
2025-06-11,151.85,152.09,147.65,149.97,4725557
2025-06-12,151.32,151.57,147.96,149.29,5765885
2025-06-13,149.12,152.78,148.79,152.59,5660326
2025-06-16,152.2,152.48,149.59,149.75,5199578
2025-06-17,150.03,150.41,147.56,149.11,3670640
2025-06-18,150.41,151.1,147.79,149.97,5186025
2025-06-19,151.0,154.02,150.89,152.48,4369616
2025-06-20,151.46,151.55,147.72,148.24,5468801
2025-06-23,148.01,148.89,146.1,146.59,3760333
2025-06-24,146.44,147.23,146.2,146.4,4087615
2025-06-25,146.4,147.45,145.99,147.29,3017582
2025-06-26,147.01,148.07,145.6,147.5,5191013
2025-06-27,148.39,148.47,147.67,148.07,5296541
2025-06-30,148.57,148.84,147.87,148.7,4795474
2025-07-01,149.63,149.78,148.82,149.26,5944623
2025-07-02,148.62,151.08,147.68,150.24,5247127
2025-07-03,150.34,151.84,149.97,150.88,5531592
2025-07-04,150.19,153.04,149.71,152.46,5225454
2025-07-07,151.86,152.32,151.24,151.26,5148493
2025-07-08,150.23,151.19,149.25,150.56,4814377
2025-07-09,149.16,151.18,149.11,150.41,3807461
2025-07-10,149.7,151.88,149.27,149.43,5797318
2025-07-11,149.2,149.36,148.0,148.31,6312982
2025-07-14,148.32,148.73,146.93,147.09,6867440
2025-07-15,146.85,147.62,143.18,145.0,5395752
2025-07-16,144.01,145.72,140.93,141.88,5682097
2025-07-17,140.95,141.1,137.71,137.99,5518628
2025-07-18,138.5,139.58,138.39,138.49,5600311
2025-07-21,138.09,139.0,135.37,135.71,4508923
2025-07-22,135.72,137.62,135.45,137.4,5818560
2025-07-23,138.88,141.76,137.94,141.19,9502470
2025-07-24,140.34,140.93,138.35,139.71,5504288
2025-07-25,138.71,139.62,138.44,139.16,3535772
2025-07-28,138.66,138.68,137.5,137.93,5882264
2025-07-29,137.27,137.88,133.33,134.42,4312212
2025-07-30,135.99,137.75,135.31,136.79,5292046
2025-07-31,135.98,140.68,135.42,139.85,6752155
2025-08-01,139.77,140.0,137.8,138.1,6050902
2025-08-04,138.14,138.18,135.27,135.82,2380116
2025-08-05,135.35,135.83,131.47,133.02,7230504
2025-08-06,132.64,133.19,131.06,131.9,4497513
2025-08-07,131.81,135.39,131.43,135.3,5143896
2025-08-08,135.69,135.89,133.09,134.03,4666083
2025-08-11,135.29,136.57,134.53,136.49,4626310
2025-08-12,137.21,138.4,135.17,136.29,4651944
2025-08-13,137.48,138.46,132.68,134.17,4891904
2025-08-14,134.05,137.94,132.51,135.38,4320780
2025-08-15,135.4,135.58,133.0,133.95,4518472
2025-08-18,133.38,134.24,132.23,133.77,4212297
2025-08-19,133.56,133.88,133.52,133.64,3125385
2025-08-20,133.89,134.66,131.16,132.42,6393201
2025-08-21,132.33,134.38,130.98,134.16,3699564
2025-08-22,134.67,135.55,133.29,133.43,4787639
2025-08-25,132.75,133.13,130.18,132.23,5603196
2025-08-26,131.69,134.67,130.44,133.75,6425148
2025-08-27,132.69,133.17,131.42,131.68,3013433
2025-08-28,131.8,132.82,131.03,131.49,8642857
2025-08-29,130.41,131.24,129.48,130.38,5986205
2025-09-01,130.87,131.46,128.07,129.65,7051400
2025-09-02,129.98,130.71,128.99,129.57,6170317
2025-09-03,128.52,128.67,127.15,127.42,6148681
2025-09-04,126.78,128.65,126.25,126.97,6044675
2025-09-05,126.96,129.52,126.88,128.13,6468774
2025-09-08,127.57,129.17,126.99,128.47,6317749
2025-09-09,128.04,128.04,125.33,126.8,5370983
2025-09-10,127.39,127.45,125.38,126.27,4314672
2025-09-11,126.8,127.9,126.59,126.74,4762476
2025-09-12,127.55,128.71,125.57,126.56,5497025
2025-09-15,125.19,125.56,123.88,125.26,4125210
2025-09-16,124.9,125.69,123.02,123.54,3276890
2025-09-17,122.9,124.0,119.4,120.53,4374609
2025-09-18,120.12,120.46,118.32,118.35,4481628
2025-09-19,118.08,120.51,117.74,120.34,1896752
2025-09-22,119.95,120.26,116.57,116.83,4190842
2025-09-23,117.13,117.53,114.61,115.69,4685974
2025-09-24,115.93,116.77,114.58,116.68,4502696
2025-09-25,116.42,117.66,112.31,112.56,3588781
2025-09-26,113.3,115.05,112.32,114.98,5502771
2025-09-29,114.62,115.34,111.56,113.01,5680595
2025-09-30,113.27,116.29,111.87,116.06,3996654
2025-10-01,116.1,117.29,114.73,116.6,4604060
2025-10-02,117.17,120.67,116.9,119.34,6317126
2025-10-03,120.36,122.62,119.76,122.09,4052138
2025-10-06,121.21,122.9,121.19,122.64,4305535
2025-10-07,122.4,123.49,122.35,122.74,5295265
2025-10-08,122.69,123.27,120.23,121.6,4278508
2025-10-09,122.35,125.63,121.79,123.66,4236991
2025-10-10,124.14,124.77,123.67,124.42,3921299
2025-10-13,123.96,124.09,122.05,122.14,5205446
2025-10-14,121.7,123.7,120.57,123.02,5853569
2025-10-15,123.13,124.57,122.65,124.12,6547262
2025-10-16,125.19,128.19,124.95,128.16,5499630
2025-10-17,128.16,129.2,128.01,129.11,7110778
2025-10-20,129.22,130.0,129.1,129.32,5349946
2025-10-21,129.28,129.3,126.52,127.39,5252181
2025-10-22,126.64,128.61,126.43,128.03,4879839
2025-10-23,128.3,129.14,125.16,125.27,5414311
2025-10-24,125.22,125.32,123.37,123.71,3717683
2025-10-27,123.91,124.8,123.11,123.6,5881605
2025-10-28,123.8,124.49,121.46,122.54,8454814
2025-10-29,121.88,122.14,121.36,121.57,4299139
2025-10-30,120.43,121.43,118.9,118.99,4178960
2025-10-31,118.58,119.31,117.92,118.89,4536584
2025-11-03,119.02,119.49,116.85,117.13,5490509
2025-11-04,117.32,117.47,116.81,117.08,6615331
2025-11-05,117.63,119.15,116.85,118.31,4203366
2025-11-06,118.17,119.45,117.34,118.81,5004313
2025-11-07,117.61,119.43,116.41,116.94,4341046
2025-11-10,116.58,116.86,115.71,116.12,6802996
2025-11-11,116.83,117.71,114.11,115.23,4022465
2025-11-12,116.11,116.51,112.14,112.99,4827199
2025-11-13,112.89,115.75,112.84,115.19,5752423
2025-11-14,115.04,115.08,113.85,113.91,6060866
2025-11-17,113.37,113.59,112.65,112.76,4777663
2025-11-18,112.75,113.29,111.51,111.81,3685879
2025-11-19,112.46,113.61,112.27,112.75,5200734
2025-11-20,113.18,115.0,112.7,114.75,4272822
2025-11-21,114.19,114.38,113.16,113.17,4410371
2025-11-24,112.75,113.56,112.05,113.22,4817990
2025-11-25,113.07,113.63,111.05,111.62,5049072
2025-11-26,111.69,112.42,111.09,112.4,6987210
2025-11-27,112.45,113.63,112.22,113.04,3646034
2025-11-28,113.55,114.77,110.83,111.41,5225229
2025-12-01,111.44,114.43,110.66,113.78,4282236
2025-12-02,113.63,113.73,112.17,112.26,4023371
2025-12-03,113.16,114.03,111.02,111.27,4751020
2025-12-04,111.5,112.19,110.24,110.67,4179685
2025-12-05,110.96,111.47,109.93,110.32,6248715
2025-12-08,110.82,112.38,110.48,111.86,4685739
2025-12-09,110.84,111.68,110.57,111.23,5632980
2025-12-10,110.48,110.71,108.8,109.14,5200424
2025-12-11,108.51,109.67,107.11,108.57,5859996
2025-12-12,107.86,108.78,106.23,107.14,4521372
2025-12-15,106.92,108.47,106.75,108.18,5909220
2025-12-16,108.78,109.59,108.12,109.32,7122225
2025-12-17,109.68,112.63,109.12,112.01,3691776
2025-12-18,111.39,112.51,110.92,111.32,6040804
2025-12-19,110.95,112.57,110.62,111.66,6228128
