temperature,pressure,humidity,vibration,machine_class
90.61,115.712,79.75,0.8109,C
76.664,114.568,76.899,0.6421,C
67.938,110.073,66.854,0.6227,B
70.156,102.616,26.127,0.2948,A
72.025,111.89,54.665,0.2716,B
61.211,101.24,49.757,0.3749,A
83.329,112.939,78.778,0.6431,C
86.843,114.506,64.137,0.8814,C
66.501,102.221,55.157,0.2948,A
65.662,91.506,27.984,0.1556,A
72.487,108.952,51.159,0.3567,B
57.265,102.124,41.244,0.2933,A
69.1,104.77,59.367,0.6011,B
68.624,112.952,53.16,0.5216,B
79.898,112.691,64.107,0.7604,C
82.82,110.115,65.77,0.785,C
58.23,102.733,24.248,0.3111,A
70.303,108.59,55.386,0.1233,B
64.911,104.509,54.321,0.5753,B
60.021,103.873,49.918,0.2582,A
75.511,113.869,53.151,0.4502,B
68.589,109.807,61.077,0.5786,B
70.179,105.35,53.168,0.3716,B
70.355,104.174,36.443,0.0809,A
72.352,106.035,63.867,0.448,B
58.172,107.639,57.552,0.2545,A
75.278,100.674,52.836,0.6606,B
50.867,101.02,47.497,0.3001,A
74.123,113.591,49.51,0.6638,B
55.409,98.613,45.192,0.1576,A
79.195,113.82,51.266,0.6136,B
78.048,107.832,52.532,0.6689,B
76.645,104.707,27.461,0.8425,B
59.465,104.32,63.049,0.4384,A
87.279,119.789,81.444,0.7861,C
85.978,119.885,70.631,0.8341,C
71.592,107.935,43.956,0.6541,B
86.434,122.132,65.256,0.8549,C
82.399,108.74,57.543,0.6772,B
75.532,109.897,51.672,0.3771,B
95.934,112.798,80.209,0.6765,C
83.659,119.758,61.355,0.8029,C
53.339,101.262,44.091,0.1342,A
91.653,117.439,69.828,0.6797,C
77.387,114.708,62.792,0.6302,B
58.575,95.243,46.241,0.3211,A
53.278,94.302,48.1,0.2021,A
69.821,103.693,58.22,0.4913,B
95.82,110.286,67.38,1.0562,C
89.366,121.149,71.675,0.8452,C
94.09,117.699,78.224,0.7898,C
83.343,107.489,32.091,0.6647,B
84.494,113.034,59.848,0.9728,C
75.515,114.19,46.844,0.455,B
92.26,121.617,80.884,1.0699,C
73.906,111.055,77.41,0.4539,B
59.057,104.89,45.664,0.1898,A
54.308,97.126,43.986,0.1229,A
67.369,107.126,36.197,0.5294,B
89.383,115.813,76.414,0.9471,C
87.586,119.221,61.847,0.749,C
79.296,110.239,42.757,0.6142,B
72.528,106.204,52.99,0.7601,B
56.293,109.447,52.772,0.552,B
67.346,105.338,52.438,0.691,B
64.132,101.789,27.822,0.3417,A
82.125,118.621,66.946,0.7751,C
90.498,110.601,66.905,0.9124,C
94.073,116.737,79.014,0.7825,C
65.888,100.481,35.225,0.3882,A
97.58,112.743,74.081,0.9394,C
91.178,118.656,58.317,0.6045,C
70.209,107.765,64.342,0.5576,B
61.92,105.148,43.718,0.1121,A
89.703,105.902,76.503,0.8012,C
53.48,102.021,37.502,0.1823,A
78.029,99.038,59.893,0.5424,B
95.406,111.113,62.227,0.817,C
80.46,122.122,76.431,0.926,C
78.297,113.951,47.411,0.5658,B
64.551,99.558,33.579,0.2864,A
91.953,118.808,66.617,0.7495,C
75.183,100.219,54.257,0.6635,B
71.061,112.696,75.469,0.3798,B
55.596,100.837,49.94,0.4866,A
94.242,111.149,61.936,0.6921,C
74.586,101.724,40.18,0.2968,A
104.793,122.161,76.875,0.801,C
82.3,112.897,70.927,0.7071,C
74.892,107.347,48.511,0.6559,B
68.497,102.758,48.875,0.3348,A
69.025,97.408,38.904,0.0319,A
82.577,106.953,53.726,0.6493,B
65.719,101.891,33.09,0.2204,A
78.481,98.01,40.486,0.3425,A
72.308,105.847,51.738,0.4844,B
71.266,110.047,55.871,0.588,B
66.599,100.374,54.801,0.3339,A
57.174,99.69,45.614,0.5892,A
50.399,103.241,42.748,0.2785,A
89.236,105.073,49.689,0.5827,B
61.996,92.593,43.961,0.3618,A
84.206,120.913,65.671,0.677,C
88.494,111.356,53.395,0.7137,C
91.196,115.399,56.31,0.7783,C
81.919,119.763,78.051,0.8932,C
68.233,101.873,29.475,0.3369,A
65.321,109.122,66.109,0.6289,B
77.808,110.405,71.015,0.9064,C
60.492,98.835,33.16,0.3017,A
75.939,103.696,55.238,0.4754,B
94.307,107.656,67.755,0.6707,C
52.958,99.459,28.566,0.1713,A
52.382,107.891,45.421,0.4516,A
82.326,104.982,59.572,0.4758,B
87.722,115.229,64.009,0.8881,C
77.353,108.1,65.127,0.6598,B
51.512,104.488,35.473,0.2696,A
68.454,99.174,43.848,0.3581,A
68.436,104.323,39.006,0.1979,A
66.273,97.731,45.986,0.2628,A
78.256,107.312,47.171,0.5207,B
59.883,103.012,33.615,0.195,A
83.135,112.616,68.938,0.7195,B
54.486,100.96,34.172,0.2495,A
73.389,111.409,33.151,0.5343,B
68.791,101.259,40.754,0.2391,A
84.987,101.858,44.876,0.3132,B
63.779,102.364,39.734,0.2339,A
63.111,103.212,33.759,0.3994,A
60.202,98.286,41.562,0.2857,A
82.786,105.476,63.963,0.3963,B
73.48,112.902,42.901,0.6413,B
85.698,105.624,51.047,0.601,B
54.003,102.078,33.858,0.3099,A
82.321,111.234,69.472,0.5814,B
92.41,112.787,63.392,1.0525,C
88.288,113.921,85.823,0.8311,C
56.596,96.695,38.9,0.2127,A
57.018,93.642,36.409,0.3828,A
84.618,112.503,56.958,0.3993,B
84.519,113.21,40.43,0.8122,C
64.865,104.225,39.272,0.0185,A
58.495,101.676,39.483,0.3205,A
69.482,109.657,50.482,0.5013,B
61.089,100.561,46.31,0.3422,A
82.738,113.832,79.537,0.8093,C
75.325,108.677,61.725,0.4455,B
85.511,118.498,70.126,0.7899,C
91.245,114.098,72.436,0.6532,C
65.436,104.468,47.747,0.3297,B
79.159,103.298,46.617,0.6871,B
88.024,119.657,78.267,0.8354,C
65.737,108.9,56.722,0.6433,B
56.036,100.075,27.851,0.4369,A
91.016,115.194,69.582,0.9579,C
64.551,104.032,47.315,0.3991,A
74.439,101.949,44.713,0.3787,A
89.543,118.464,77.759,0.7763,C
68.984,102.811,45.778,0.812,B
88.857,113.345,61.771,0.7474,C
62.68,98.563,38.772,0.2357,A
70.004,108.71,58.436,0.6868,B
82.94,108.375,81.558,0.6115,C
88.099,114.113,72.434,0.6854,C
71.96,105.384,61.497,0.5248,B
75.289,113.443,73.774,0.9714,C
71.048,102.159,52.663,0.7404,B
82.359,107.443,60.517,0.5472,B
68.227,91.812,53.854,0.3487,A
70.533,107.267,46.02,0.1843,A
