date,category,volume
2022-04-04,Technology,680
2022-04-04,Energy,586
2022-04-04,Transport,954
2022-04-11,Retail,1808
2022-04-11,Finance,1130
2022-04-11,Healthcare,691
2022-04-11,Technology,678
2022-04-11,Energy,599
2022-04-11,Transport,981
2022-04-18,Retail,1800
2022-04-18,Finance,1100
2022-04-18,Healthcare,675
2022-04-18,Technology,683
2022-04-18,Energy,612
2022-04-18,Transport,1006
2022-04-25,Retail,1784
2022-04-25,Finance,1068
2022-04-25,Healthcare,662
2022-04-25,Technology,694
2022-04-25,Energy,626
2022-04-25,Transport,1030
2022-05-02,Retail,1763
2022-05-02,Finance,1035
2022-05-02,Healthcare,649
2022-05-02,Technology,713
2022-05-02,Energy,641
2022-05-02,Transport,1052
2022-05-09,Retail,1735
2022-05-09,Finance,1002
2022-05-09,Healthcare,639
2022-05-09,Technology,738
2022-05-09,Energy,657
2022-05-09,Transport,1072
2022-05-16,Retail,1701
2022-05-16,Finance,969
2022-05-16,Healthcare,631
2022-05-16,Technology,769
2022-05-16,Energy,672
2022-05-16,Transport,1089
2022-05-23,Retail,1662
2022-05-23,Finance,936
2022-05-23,Healthcare,625
2022-05-23,Technology,806
2022-05-23,Energy,687
2022-05-23,Transport,1103
2022-05-30,Retail,1618
2022-05-30,Finance,905
2022-05-30,Healthcare,622
2022-05-30,Technology,849
2022-05-30,Energy,703
2022-05-30,Transport,1115
2022-06-06,Retail,1571
2022-06-06,Finance,876
2022-06-06,Healthcare,621
2022-06-06,Technology,896
2022-06-06,Energy,717
2022-06-06,Transport,1123
2022-06-13,Retail,1520
2022-06-13,Finance,848
2022-06-13,Healthcare,622
2022-06-13,Technology,948
2022-06-13,Energy,732
2022-06-13,Transport,1128
2022-06-20,Retail,1466
2022-06-20,Finance,823
2022-06-20,Healthcare,626
2022-06-20,Technology,1002
2022-06-20,Energy,745
2022-06-20,Transport,1130
2022-06-27,Retail,1411
2022-06-27,Finance,801
2022-06-27,Healthcare,632
2022-06-27,Technology,1060
2022-06-27,Energy,757
2022-06-27,Transport,1128
2022-07-04,Retail,1356
2022-07-04,Finance,782
2022-07-04,Healthcare,640
2022-07-04,Technology,1119
2022-07-04,Energy,768
2022-07-04,Transport,1123
2022-07-11,Retail,1300
2022-07-11,Finance,767
2022-07-11,Healthcare,651
2022-07-11,Technology,1179
2022-07-11,Energy,778
2022-07-11,Transport,1116
2022-07-18,Retail,1245
2022-07-18,Finance,755
2022-07-18,Healthcare,664
2022-07-18,Technology,1239
2022-07-18,Energy,786
2022-07-18,Transport,1105
2022-07-25,Retail,1191
2022-07-25,Finance,747
2022-07-25,Healthcare,679
2022-07-25,Technology,1299
2022-07-25,Energy,793
2022-07-25,Transport,1091
2022-08-01,Retail,1140
2022-08-01,Finance,744
2022-08-01,Healthcare,695
2022-08-01,Technology,1357
2022-08-01,Energy,798
2022-08-01,Transport,1075
2022-08-08,Retail,1093
2022-08-08,Finance,744
2022-08-08,Healthcare,713
2022-08-08,Technology,1413
2022-08-08,Energy,802
2022-08-08,Transport,1056
2022-08-15,Retail,1049
2022-08-15,Finance,749
2022-08-15,Healthcare,732
2022-08-15,Technology,1466
2022-08-15,Energy,803
2022-08-15,Transport,1036
2022-08-22,Retail,1010
2022-08-22,Finance,758
2022-08-22,Healthcare,753
2022-08-22,Technology,1514
2022-08-22,Energy,803
2022-08-22,Transport,1013
2022-08-29,Retail,976
2022-08-29,Finance,771
2022-08-29,Healthcare,773
2022-08-29,Technology,1558
2022-08-29,Energy,802
2022-08-29,Transport,990
2022-09-05,Retail,948
2022-09-05,Finance,788
2022-09-05,Healthcare,795
2022-09-05,Technology,1598
2022-09-05,Energy,798
2022-09-05,Transport,965
2022-09-12,Retail,927
2022-09-12,Finance,809
2022-09-12,Healthcare,816
2022-09-12,Technology,1631
2022-09-12,Energy,793
2022-09-12,Transport,939
2022-09-19,Retail,911
2022-09-19,Finance,833
2022-09-19,Healthcare,838
2022-09-19,Technology,1658
2022-09-19,Energy,786
2022-09-19,Transport,914
2022-09-26,Retail,903
2022-09-26,Finance,860
2022-09-26,Healthcare,858
2022-09-26,Technology,1679
2022-09-26,Energy,778
2022-09-26,Transport,888
2022-10-03,Retail,902
2022-10-03,Finance,889
2022-10-03,Healthcare,879
2022-10-03,Technology,1693
2022-10-03,Energy,769
2022-10-03,Transport,863
2022-10-10,Retail,907
2022-10-10,Finance,921
2022-10-10,Healthcare,898
2022-10-10,Technology,1700
2022-10-10,Energy,758
2022-10-10,Transport,839
2022-10-17,Retail,919
2022-10-17,Finance,955
2022-10-17,Healthcare,916
2022-10-17,Technology,1700
2022-10-17,Energy,747
2022-10-17,Transport,817
2022-10-24,Retail,939
2022-10-24,Finance,990
2022-10-24,Healthcare,932
2022-10-24,Technology,1693
2022-10-24,Energy,735
2022-10-24,Transport,796
2022-10-31,Retail,964
2022-10-31,Finance,1026
2022-10-31,Healthcare,946
2022-10-31,Technology,1680
2022-10-31,Energy,722
2022-10-31,Transport,776
2022-11-07,Retail,996
2022-11-07,Finance,1063
2022-11-07,Healthcare,959
2022-11-07,Technology,1659
2022-11-07,Energy,708
2022-11-07,Transport,760
2022-11-14,Retail,1034
2022-11-14,Finance,1099
2022-11-14,Healthcare,970
2022-11-14,Technology,1633
2022-11-14,Energy,695
2022-11-14,Transport,745
2022-11-21,Retail,1077
2022-11-21,Finance,1135
2022-11-21,Healthcare,978
2022-11-21,Technology,1601
2022-11-21,Energy,682
2022-11-21,Transport,734
2022-11-28,Retail,1125
2022-11-28,Finance,1169
2022-11-28,Healthcare,984
2022-11-28,Technology,1563
2022-11-28,Energy,668
2022-11-28,Transport,725
2022-12-05,Retail,1176
2022-12-05,Finance,1202
2022-12-05,Healthcare,987
2022-12-05,Technology,1520
2022-12-05,Energy,656
2022-12-05,Transport,720
2022-12-12,Retail,1231
2022-12-12,Finance,1233
2022-12-12,Healthcare,988
2022-12-12,Technology,1474
2022-12-12,Energy,643
2022-12-12,Transport,718
2022-12-19,Retail,1289
2022-12-19,Finance,1261
2022-12-19,Healthcare,987
2022-12-19,Technology,1424
2022-12-19,Energy,632
2022-12-19,Transport,719
2022-12-26,Retail,1348
2022-12-26,Finance,1286
2022-12-26,Healthcare,983
2022-12-26,Technology,1371
2022-12-26,Energy,622
2022-12-26,Transport,723
2023-01-02,Retail,1407
2023-01-02,Finance,1308
2023-01-02,Healthcare,977
2023-01-02,Technology,1317
2023-01-02,Energy,613
2023-01-02,Transport,730
2023-01-09,Retail,1467
2023-01-09,Finance,1327
2023-01-09,Healthcare,969
2023-01-09,Technology,1261
2023-01-09,Energy,605
2023-01-09,Transport,741
2023-01-16,Retail,1526
2023-01-16,Finance,1342
2023-01-16,Healthcare,958
2023-01-16,Technology,1206
2023-01-16,Energy,599
2023-01-16,Transport,755
2023-01-23,Retail,1584
2023-01-23,Finance,1352
2023-01-23,Healthcare,946
2023-01-23,Technology,1151
2023-01-23,Energy,594
2023-01-23,Transport,771
2023-01-30,Retail,1639
2023-01-30,Finance,1359
2023-01-30,Healthcare,932
2023-01-30,Technology,1098
2023-01-30,Energy,591
2023-01-30,Transport,790
2023-02-06,Retail,1690
2023-02-06,Finance,1362
2023-02-06,Healthcare,916
2023-02-06,Technology,1047
2023-02-06,Energy,589
2023-02-06,Transport,811
2023-02-13,Retail,1738
2023-02-13,Finance,1360
2023-02-13,Healthcare,899
2023-02-13,Technology,999
2023-02-13,Energy,590
2023-02-13,Transport,835
2023-02-20,Retail,1781
2023-02-20,Finance,1354
2023-02-20,Healthcare,882
2023-02-20,Technology,955
2023-02-20,Energy,592
2023-02-20,Transport,860
2023-02-27,Retail,1819
2023-02-27,Finance,1344
2023-02-27,Healthcare,863
2023-02-27,Technology,916
2023-02-27,Energy,595
2023-02-27,Transport,887
2023-03-06,Retail,1851
2023-03-06,Finance,1331
2023-03-06,Healthcare,844
2023-03-06,Technology,881
2023-03-06,Energy,601
2023-03-06,Transport,914
2023-03-13,Retail,1876
2023-03-13,Finance,1313
2023-03-13,Healthcare,825
2023-03-13,Technology,853
2023-03-13,Energy,608
2023-03-13,Transport,942
2023-03-20,Retail,1896
2023-03-20,Finance,1293
2023-03-20,Healthcare,806
2023-03-20,Technology,830
2023-03-20,Energy,617
2023-03-20,Transport,971
2023-03-27,Retail,1908
2023-03-27,Finance,1269
2023-03-27,Healthcare,788
2023-03-27,Technology,814
2023-03-27,Energy,627
2023-03-27,Transport,999
2023-04-03,Retail,1914
2023-04-03,Finance,1242
2023-04-03,Healthcare,770
2023-04-03,Technology,805
2023-04-03,Energy,638
2023-04-03,Transport,1027
2023-04-10,Retail,1912
2023-04-10,Finance,1214
2023-04-10,Healthcare,753
2023-04-10,Technology,803
2023-04-10,Energy,651
2023-04-10,Transport,1054
2023-04-17,Retail,1904
2023-04-17,Finance,1183
2023-04-17,Healthcare,738
2023-04-17,Technology,808
2023-04-17,Energy,664
2023-04-17,Transport,1079
2023-04-24,Retail,1888
2023-04-24,Finance,1151
2023-04-24,Healthcare,724
2023-04-24,Technology,819
2023-04-24,Energy,678
2023-04-24,Transport,1103
2023-05-01,Retail,1867
2023-05-01,Finance,1118
2023-05-01,Healthcare,712
2023-05-01,Technology,838
2023-05-01,Energy,693
2023-05-01,Transport,1125
2023-05-08,Retail,1839
2023-05-08,Finance,1085
2023-05-08,Healthcare,702
2023-05-08,Technology,863
2023-05-08,Energy,709
2023-05-08,Transport,1145
2023-05-15,Retail,1805
2023-05-15,Finance,1052
2023-05-15,Healthcare,693
2023-05-15,Technology,894
2023-05-15,Energy,724
2023-05-15,Transport,1162
2023-05-22,Retail,1766
2023-05-22,Finance,1020
2023-05-22,Healthcare,688
2023-05-22,Technology,931
2023-05-22,Energy,739
2023-05-22,Transport,1176
2023-05-29,Retail,1722
2023-05-29,Finance,988
2023-05-29,Healthcare,684
2023-05-29,Technology,974
2023-05-29,Energy,755
2023-05-29,Transport,1187
2023-06-05,Retail,1675
2023-06-05,Finance,959
2023-06-05,Healthcare,683
2023-06-05,Technology,1021
2023-06-05,Energy,769
2023-06-05,Transport,1196
2023-06-12,Retail,1624
2023-06-12,Finance,931
2023-06-12,Healthcare,684
2023-06-12,Technology,1072
2023-06-12,Energy,784
2023-06-12,Transport,1201
2023-06-19,Retail,1570
2023-06-19,Finance,906
2023-06-19,Healthcare,688
2023-06-19,Technology,1127
2023-06-19,Energy,797
2023-06-19,Transport,1202
2023-06-26,Retail,1515
2023-06-26,Finance,884
2023-06-26,Healthcare,694
2023-06-26,Technology,1185
2023-06-26,Energy,809
2023-06-26,Transport,1201
2023-07-03,Retail,1460
2023-07-03,Finance,865
2023-07-03,Healthcare,703
2023-07-03,Technology,1244
2023-07-03,Energy,820
2023-07-03,Transport,1196
2023-07-10,Retail,1404
2023-07-10,Finance,850
2023-07-10,Healthcare,713
2023-07-10,Technology,1304
2023-07-10,Energy,830
2023-07-10,Transport,1188
2023-07-17,Retail,1349
2023-07-17,Finance,838
2023-07-17,Healthcare,726
2023-07-17,Technology,1364
2023-07-17,Energy,838
2023-07-17,Transport,1178
2023-07-24,Retail,1295
2023-07-24,Finance,831
2023-07-24,Healthcare,741
2023-07-24,Technology,1424
2023-07-24,Energy,845
2023-07-24,Transport,1164
2023-07-31,Retail,1244
2023-07-31,Finance,827
2023-07-31,Healthcare,758
2023-07-31,Technology,1482
2023-07-31,Energy,850
2023-07-31,Transport,1148
2023-08-07,Retail,1197
2023-08-07,Finance,828
2023-08-07,Healthcare,775
2023-08-07,Technology,1538
2023-08-07,Energy,854
2023-08-07,Transport,1129
2023-08-14,Retail,1153
2023-08-14,Finance,833
2023-08-14,Healthcare,795
2023-08-14,Technology,1590
2023-08-14,Energy,855
2023-08-14,Transport,1109
2023-08-21,Retail,1114
2023-08-21,Finance,842
2023-08-21,Healthcare,815
2023-08-21,Technology,1639
2023-08-21,Energy,855
2023-08-21,Transport,1086
2023-08-28,Retail,1080
2023-08-28,Finance,855
2023-08-28,Healthcare,836
2023-08-28,Technology,1683
2023-08-28,Energy,854
2023-08-28,Transport,1062
2023-09-04,Retail,1052
2023-09-04,Finance,871
2023-09-04,Healthcare,857
2023-09-04,Technology,1722
2023-09-04,Energy,850
2023-09-04,Transport,1038
2023-09-11,Retail,1031
2023-09-11,Finance,892
2023-09-11,Healthcare,879
2023-09-11,Technology,1756
2023-09-11,Energy,845
2023-09-11,Transport,1012
2023-09-18,Retail,1015
2023-09-18,Finance,916
2023-09-18,Healthcare,900
2023-09-18,Technology,1783
2023-09-18,Energy,838
2023-09-18,Transport,987
2023-09-25,Retail,1007
2023-09-25,Finance,943
2023-09-25,Healthcare,921
2023-09-25,Technology,1804
2023-09-25,Energy,830
2023-09-25,Transport,961
2023-10-02,Retail,1006
2023-10-02,Finance,973
2023-10-02,Healthcare,941
2023-10-02,Technology,1818
2023-10-02,Energy,821
2023-10-02,Transport,936
2023-10-09,Retail,1011
2023-10-09,Finance,1005
2023-10-09,Healthcare,960
2023-10-09,Technology,1825
2023-10-09,Energy,810
2023-10-09,Transport,912
2023-10-16,Retail,1023
2023-10-16,Finance,1038
2023-10-16,Healthcare,978
2023-10-16,Technology,1825
2023-10-16,Energy,799
2023-10-16,Transport,889
2023-10-23,Retail,1043
2023-10-23,Finance,1074
2023-10-23,Healthcare,994
2023-10-23,Technology,1818
2023-10-23,Energy,787
2023-10-23,Transport,868
2023-10-30,Retail,1068
2023-10-30,Finance,1110
2023-10-30,Healthcare,1009
2023-10-30,Technology,1805
2023-10-30,Energy,774
2023-10-30,Transport,849
2023-11-06,Retail,1100
2023-11-06,Finance,1146
2023-11-06,Healthcare,1021
2023-11-06,Technology,1784
2023-11-06,Energy,760
2023-11-06,Transport,832
2023-11-13,Retail,1138
2023-11-13,Finance,1182
2023-11-13,Healthcare,1032
2023-11-13,Technology,1758
2023-11-13,Energy,747
2023-11-13,Transport,818
2023-11-20,Retail,1181
2023-11-20,Finance,1218
2023-11-20,Healthcare,1040
2023-11-20,Technology,1725
2023-11-20,Energy,734
2023-11-20,Transport,807
2023-11-27,Retail,1229
2023-11-27,Finance,1252
2023-11-27,Healthcare,1046
2023-11-27,Technology,1688
2023-11-27,Energy,720
2023-11-27,Transport,798
2023-12-04,Retail,1280
2023-12-04,Finance,1285
2023-12-04,Healthcare,1050
2023-12-04,Technology,1645
2023-12-04,Energy,708
2023-12-04,Transport,793
2023-12-11,Retail,1335
2023-12-11,Finance,1316
2023-12-11,Healthcare,1051
2023-12-11,Technology,1599
2023-12-11,Energy,695
2023-12-11,Transport,790
2023-12-18,Retail,1393
2023-12-18,Finance,1344
2023-12-18,Healthcare,1049
2023-12-18,Technology,1549
2023-12-18,Energy,684
2023-12-18,Transport,791
2023-12-25,Retail,1452
2023-12-25,Finance,1369
2023-12-25,Healthcare,1046
2023-12-25,Technology,1496
2023-12-25,Energy,674
2023-12-25,Transport,796
