alloy,treatment,supplier,strength_mpa
A356,AsCast,South,245.98
A356,AsCast,South,281.06
A356,AsCast,South,219.43
A356,AsCast,South,283.89
A356,AsCast,South,257.18
A356,AsCast,South,260.63
A356,AsCast,South,288.47
A356,AsCast,South,273.04
A356,AsCast,South,297.79
A356,AsCast,South,241.46
A356,AsCast,South,249.89
A356,AsCast,South,280.93
A356,AsCast,South,283.97
A356,AsCast,South,273.46
A356,AsCast,South,270.43
A356,AsCast,South,256.88
A356,AsCast,South,290.67
A356,AsCast,South,294.15
A356,AsCast,South,238.9
A356,AsCast,South,258.15
A356,AsCast,South,284.37
A356,AsCast,South,254.65
A356,AsCast,South,278.5
A356,AsCast,South,262.45
A356,AsCast,South,308.7
A356,AsCast,South,273.67
A356,AsCast,South,316.25
A356,AsCast,South,279.81
A356,AsCast,South,291.04
A356,AsCast,South,277.84
A356,AsCast,South,289.92
A356,AsCast,South,295.2
A356,AsCast,South,255.61
A356,AsCast,South,290.57
A356,AsCast,South,273.5
A356,AsCast,South,222.42
A356,AsCast,South,271.35
A356,AsCast,South,244.06
A356,AsCast,South,279.58
A356,AsCast,South,248.99
A356,AsCast,South,282.19
A356,AsCast,South,274.39
A356,HeatTreated,North,291.03
A356,HeatTreated,North,310.91
A356,HeatTreated,North,291.21
A356,HeatTreated,North,310.46
A356,HeatTreated,North,265.9
A356,HeatTreated,North,301.91
A356,HeatTreated,North,316.4
A356,HeatTreated,North,299.51
A356,HeatTreated,North,289.42
A356,HeatTreated,North,301.92
A356,HeatTreated,North,314.27
A356,HeatTreated,North,306.25
A356,HeatTreated,North,280.79
A356,HeatTreated,North,267.92
A356,HeatTreated,North,294.61
A356,HeatTreated,North,270.02
A356,HeatTreated,North,297.11
A356,HeatTreated,North,338.84
A356,HeatTreated,North,288.79
A356,HeatTreated,North,301.37
A356,HeatTreated,North,297.65
A356,HeatTreated,North,294.2
A356,HeatTreated,North,283.31
A356,HeatTreated,North,360.5
A356,HeatTreated,North,294.54
A356,HeatTreated,North,313.94
A356,HeatTreated,North,273.68
A356,HeatTreated,North,317.61
A356,HeatTreated,North,309.15
A356,HeatTreated,North,283.57
A356,HeatTreated,North,265.27
A356,HeatTreated,North,258.9
A356,HeatTreated,North,302.52
A356,HeatTreated,North,298.68
A356,HeatTreated,North,309.26
A356,HeatTreated,North,307.87
A356,HeatTreated,North,297.03
A356,HeatTreated,North,311.29
A356,HeatTreated,North,258.86
A356,HeatTreated,North,290.93
A356,HeatTreated,North,269.58
A356,HeatTreated,North,345.67
A356,HeatTreated,North,313.54
A356,HeatTreated,North,293.57
A356,HeatTreated,North,287.01
A356,HeatTreated,North,320.58
A356,HeatTreated,North,277.46
A356,HeatTreated,North,299.84
A356,HeatTreated,North,322.98
A356,HeatTreated,North,307.22
A356,HeatTreated,North,280.29
A356,HeatTreated,North,303.88
A356,HeatTreated,North,302.83
A356,HeatTreated,North,265.57
A356,HeatTreated,North,336.52
A356,HeatTreated,North,260.06
A356,HeatTreated,North,284.19
A356,HeatTreated,North,303.32
A356,HeatTreated,North,282.71
A356,HeatTreated,North,298.67
A356,HeatTreated,South,305.65
A356,HeatTreated,South,339.77
A356,HeatTreated,South,319.68
A356,HeatTreated,South,334.51
A356,HeatTreated,South,328.03
A356,HeatTreated,South,346.25
A356,HeatTreated,South,309.11
A356,HeatTreated,South,318.89
A356,HeatTreated,South,325.0
A356,HeatTreated,South,310.79
A356,HeatTreated,South,297.66
A356,HeatTreated,South,311.52
A356,HeatTreated,South,338.05
A356,HeatTreated,South,337.68
A356,HeatTreated,South,322.1
A356,HeatTreated,South,318.04
A356,HeatTreated,South,294.65
A356,HeatTreated,South,331.99
A356,HeatTreated,South,320.67
A356,HeatTreated,South,360.43
A356,HeatTreated,South,321.39
A356,HeatTreated,South,303.06
A356,HeatTreated,South,308.34
A356,HeatTreated,South,292.45
A356,HeatTreated,South,327.78
A356,HeatTreated,South,308.65
A356,HeatTreated,South,309.42
A356,HeatTreated,South,278.36
A356,HeatTreated,South,304.87
A356,HeatTreated,South,340.39
A356,HeatTreated,South,272.31
A356,HeatTreated,South,299.1
A356,HeatTreated,South,320.97
A356,HeatTreated,South,284.26
A356,HeatTreated,South,298.35
A356,HeatTreated,South,341.03
A356,HeatTreated,South,325.63
A356,HeatTreated,South,293.2
A356,HeatTreated,South,311.13
A356,HeatTreated,South,334.99
A356,HeatTreated,South,297.75
A356,HeatTreated,South,297.26
A356,HeatTreated,South,288.48
A356,HeatTreated,South,313.51
A356,HeatTreated,South,299.91
A356,HeatTreated,South,344.41
A356,HeatTreated,South,310.89
A356,HeatTreated,South,317.82
A356,HeatTreated,South,339.34
A356,HeatTreated,South,319.62
A356,HeatTreated,South,361.29
A356,HeatTreated,South,298.98
A356,HeatTreated,South,284.79
A356,HeatTreated,South,312.51
A356,HeatTreated,South,285.66
A356,HeatTreated,South,327.3
A356,HeatTreated,South,299.93
A356,HeatTreated,South,326.2
A356,HeatTreated,South,325.89
A356,HeatTreated,South,277.38
6061,AsCast,North,337.53
6061,AsCast,North,273.45
6061,AsCast,North,322.71
6061,AsCast,North,304.2
6061,AsCast,North,339.48
6061,AsCast,North,312.77
6061,AsCast,North,311.55
6061,AsCast,North,316.15
6061,AsCast,North,281.91
6061,AsCast,North,312.44
6061,AsCast,North,262.29
6061,AsCast,North,303.86
6061,AsCast,North,266.22
6061,AsCast,North,310.84
6061,AsCast,North,292.69
6061,AsCast,North,312.74
6061,AsCast,North,317.35
6061,AsCast,North,305.8
6061,AsCast,North,347.15
6061,AsCast,North,281.61
6061,AsCast,North,321.76
6061,AsCast,North,336.79
6061,AsCast,North,346.61
6061,AsCast,North,316.01
6061,AsCast,North,260.14
6061,AsCast,North,327.02
6061,AsCast,North,308.79
6061,AsCast,North,309.23
6061,AsCast,North,336.42
6061,AsCast,North,310.73
6061,AsCast,North,301.43
6061,AsCast,North,307.96
6061,AsCast,North,326.83
6061,AsCast,North,285.8
6061,AsCast,North,288.38
6061,AsCast,North,304.01
6061,AsCast,North,316.21
6061,AsCast,North,322.63
6061,AsCast,North,278.41
6061,AsCast,North,323.65
6061,AsCast,North,294.79
6061,AsCast,North,336.08
6061,AsCast,North,292.35
6061,AsCast,North,309.01
6061,AsCast,North,330.02
6061,AsCast,North,338.09
6061,AsCast,North,312.44
6061,AsCast,North,309.19
6061,AsCast,North,312.58
6061,AsCast,North,301.5
6061,AsCast,North,341.8
6061,AsCast,North,300.21
6061,AsCast,North,351.08
6061,AsCast,North,325.77
6061,AsCast,North,305.13
6061,AsCast,North,290.59
6061,AsCast,North,315.14
6061,AsCast,North,305.02
6061,AsCast,North,297.35
6061,AsCast,North,316.07
6061,AsCast,South,327.72
6061,AsCast,South,318.93
6061,AsCast,South,307.07
6061,AsCast,South,317.42
6061,AsCast,South,322.85
6061,AsCast,South,317.14
6061,AsCast,South,316.9
6061,AsCast,South,313.89
6061,AsCast,South,316.68
6061,AsCast,South,372.08
6061,AsCast,South,347.85
6061,AsCast,South,302.86
6061,AsCast,South,330.07
6061,AsCast,South,349.71
6061,AsCast,South,311.08
6061,AsCast,South,351.09
6061,AsCast,South,314.93
6061,AsCast,South,343.25
6061,AsCast,South,328.71
6061,AsCast,South,322.18
6061,AsCast,South,342.97
6061,AsCast,South,339.27
6061,AsCast,South,294.44
6061,AsCast,South,341.69
6061,AsCast,South,353.03
6061,AsCast,South,321.9
6061,AsCast,South,293.19
6061,AsCast,South,302.33
6061,AsCast,South,340.24
6061,AsCast,South,327.61
6061,AsCast,South,352.93
6061,AsCast,South,348.25
6061,AsCast,South,343.88
6061,AsCast,South,339.34
6061,AsCast,South,332.68
6061,AsCast,South,293.73
6061,AsCast,South,326.31
6061,AsCast,South,335.88
6061,AsCast,South,328.29
6061,AsCast,South,339.28
6061,AsCast,South,367.29
6061,AsCast,South,295.09
6061,AsCast,South,358.41
6061,AsCast,South,339.41
6061,AsCast,South,325.72
6061,AsCast,South,332.1
6061,AsCast,South,352.03
6061,AsCast,South,337.98
6061,AsCast,South,339.93
6061,AsCast,South,315.79
6061,AsCast,South,342.14
6061,AsCast,South,342.37
6061,AsCast,South,327.78
6061,AsCast,South,322.67
6061,AsCast,South,318.32
6061,AsCast,South,287.13
6061,AsCast,South,289.88
6061,AsCast,South,324.42
6061,AsCast,South,335.61
6061,AsCast,South,331.79
6061,HeatTreated,North,351.21
6061,HeatTreated,North,312.48
6061,HeatTreated,North,370.22
6061,HeatTreated,North,363.48
6061,HeatTreated,North,380.2
6061,HeatTreated,North,370.68
6061,HeatTreated,North,358.23
6061,HeatTreated,North,337.32
6061,HeatTreated,North,320.26
6061,HeatTreated,North,384.0
6061,HeatTreated,North,341.47
6061,HeatTreated,North,359.25
6061,HeatTreated,North,353.46
6061,HeatTreated,North,368.14
6061,HeatTreated,North,358.3
6061,HeatTreated,North,346.32
6061,HeatTreated,North,340.83
6061,HeatTreated,North,364.22
6061,HeatTreated,North,329.2
6061,HeatTreated,North,331.73
6061,HeatTreated,North,340.39
6061,HeatTreated,North,363.92
6061,HeatTreated,North,331.14
6061,HeatTreated,North,356.94
6061,HeatTreated,North,349.96
6061,HeatTreated,North,341.83
6061,HeatTreated,North,348.25
6061,HeatTreated,North,329.82
6061,HeatTreated,North,358.82
6061,HeatTreated,North,391.45
6061,HeatTreated,North,331.21
6061,HeatTreated,North,346.92
6061,HeatTreated,North,334.98
6061,HeatTreated,North,356.03
6061,HeatTreated,North,333.49
6061,HeatTreated,North,353.8
6061,HeatTreated,North,371.23
6061,HeatTreated,North,349.58
6061,HeatTreated,North,336.63
6061,HeatTreated,North,320.68
6061,HeatTreated,North,334.41
6061,HeatTreated,North,352.94
6061,HeatTreated,North,381.37
6061,HeatTreated,North,345.05
6061,HeatTreated,North,312.92
6061,HeatTreated,North,365.83
6061,HeatTreated,North,338.4
6061,HeatTreated,North,345.66
6061,HeatTreated,North,323.33
6061,HeatTreated,North,354.35
6061,HeatTreated,North,296.69
6061,HeatTreated,North,402.18
6061,HeatTreated,North,295.27
6061,HeatTreated,North,363.7
6061,HeatTreated,North,340.4
6061,HeatTreated,North,371.19
6061,HeatTreated,North,362.07
6061,HeatTreated,North,415.24
6061,HeatTreated,North,316.0
6061,HeatTreated,North,353.28
6061,HeatTreated,South,351.73
6061,HeatTreated,South,330.64
6061,HeatTreated,South,360.58
6061,HeatTreated,South,378.86
6061,HeatTreated,South,388.24
6061,HeatTreated,South,341.38
6061,HeatTreated,South,367.83
6061,HeatTreated,South,377.58
6061,HeatTreated,South,366.35
6061,HeatTreated,South,354.0
6061,HeatTreated,South,356.49
6061,HeatTreated,South,356.61
6061,HeatTreated,South,384.84
6061,HeatTreated,South,350.49
6061,HeatTreated,South,353.81
6061,HeatTreated,South,383.67
6061,HeatTreated,South,354.71
6061,HeatTreated,South,375.47
6061,HeatTreated,South,356.55
6061,HeatTreated,South,352.67
6061,HeatTreated,South,366.94
6061,HeatTreated,South,345.84
6061,HeatTreated,South,335.46
6061,HeatTreated,South,330.22
6061,HeatTreated,South,360.63
6061,HeatTreated,South,392.09
6061,HeatTreated,South,375.3
6061,HeatTreated,South,322.54
6061,HeatTreated,South,390.02
6061,HeatTreated,South,343.28
6061,HeatTreated,South,372.96
6061,HeatTreated,South,360.46
6061,HeatTreated,South,344.53
6061,HeatTreated,South,384.1
6061,HeatTreated,South,373.06
6061,HeatTreated,South,346.31
6061,HeatTreated,South,355.73
6061,HeatTreated,South,365.37
6061,HeatTreated,South,356.37
6061,HeatTreated,South,391.87
6061,HeatTreated,South,346.91
6061,HeatTreated,South,363.46
6061,HeatTreated,South,387.17
6061,HeatTreated,South,413.31
6061,HeatTreated,South,378.65
6061,HeatTreated,South,402.32
6061,HeatTreated,South,338.13
6061,HeatTreated,South,371.19
6061,HeatTreated,South,363.74
6061,HeatTreated,South,339.19
6061,HeatTreated,South,348.32
6061,HeatTreated,South,368.31
6061,HeatTreated,South,386.14
6061,HeatTreated,South,362.49
6061,HeatTreated,South,359.83
6061,HeatTreated,South,354.74
6061,HeatTreated,South,400.24
6061,HeatTreated,South,351.35
6061,HeatTreated,South,371.42
6061,HeatTreated,South,368.46
7075,AsCast,North,486.36
7075,AsCast,North,463.82
7075,AsCast,North,475.85
7075,AsCast,North,500.66
7075,AsCast,North,510.23
7075,AsCast,North,483.84
7075,AsCast,North,497.12
7075,AsCast,North,439.6
7075,AsCast,North,453.3
7075,AsCast,North,502.83
7075,AsCast,North,468.19
7075,AsCast,North,493.43
7075,AsCast,North,474.72
7075,AsCast,North,507.4
7075,AsCast,North,488.79
7075,AsCast,North,498.99
7075,AsCast,North,471.79
7075,AsCast,North,459.57
7075,AsCast,North,474.62
7075,AsCast,North,465.66
7075,AsCast,North,490.75
7075,AsCast,North,484.3
7075,AsCast,North,498.36
7075,AsCast,North,460.57
7075,AsCast,North,492.66
7075,AsCast,North,494.47
7075,AsCast,North,500.94
7075,AsCast,North,498.66
7075,AsCast,North,468.52
7075,AsCast,North,497.76
7075,AsCast,North,489.74
7075,AsCast,North,467.5
7075,AsCast,North,502.14
7075,AsCast,North,493.86
7075,AsCast,North,538.49
7075,AsCast,North,489.28
7075,AsCast,North,504.86
7075,AsCast,North,479.69
7075,AsCast,North,491.32
7075,AsCast,North,455.7
7075,AsCast,North,502.59
7075,AsCast,North,453.46
7075,AsCast,North,459.27
7075,AsCast,North,483.62
7075,AsCast,North,478.94
7075,AsCast,North,488.01
7075,AsCast,North,483.52
7075,AsCast,North,473.64
7075,AsCast,North,505.2
7075,AsCast,North,486.48
7075,AsCast,North,498.32
7075,AsCast,North,496.15
7075,AsCast,North,440.3
7075,AsCast,North,462.58
7075,AsCast,North,473.31
7075,AsCast,North,489.65
7075,AsCast,North,485.5
7075,AsCast,North,474.04
7075,AsCast,North,439.17
7075,AsCast,North,489.78
7075,AsCast,South,494.06
7075,AsCast,South,489.25
7075,AsCast,South,507.7
7075,AsCast,South,505.44
7075,AsCast,South,466.98
7075,AsCast,South,499.96
7075,AsCast,South,492.88
7075,AsCast,South,445.02
7075,AsCast,South,490.48
7075,AsCast,South,503.98
7075,AsCast,South,526.69
7075,AsCast,South,518.69
7075,AsCast,South,512.27
7075,AsCast,South,490.27
7075,AsCast,South,507.73
7075,AsCast,South,559.4
7075,AsCast,South,470.45
7075,AsCast,South,506.19
7075,AsCast,South,494.96
7075,AsCast,South,510.23
7075,AsCast,South,472.78
7075,AsCast,South,500.39
7075,AsCast,South,443.3
7075,AsCast,South,500.83
7075,AsCast,South,459.0
7075,AsCast,South,505.72
7075,AsCast,South,494.39
7075,AsCast,South,507.54
7075,AsCast,South,497.24
7075,AsCast,South,489.24
7075,AsCast,South,491.42
7075,AsCast,South,521.6
7075,AsCast,South,500.63
7075,AsCast,South,483.85
7075,AsCast,South,502.91
7075,AsCast,South,497.45
7075,AsCast,South,501.63
7075,AsCast,South,507.36
7075,AsCast,South,562.39
7075,AsCast,South,454.76
7075,AsCast,South,485.61
7075,AsCast,South,503.38
7075,AsCast,South,494.42
7075,AsCast,South,474.21
7075,AsCast,South,509.48
7075,AsCast,South,465.9
7075,AsCast,South,526.41
7075,AsCast,South,519.4
7075,AsCast,South,461.43
7075,AsCast,South,480.33
7075,AsCast,South,472.99
7075,AsCast,South,517.88
7075,AsCast,South,484.43
7075,AsCast,South,492.91
7075,AsCast,South,471.13
7075,AsCast,South,506.56
7075,AsCast,South,482.65
7075,AsCast,South,514.4
7075,AsCast,South,525.07
7075,AsCast,South,465.62
7075,HeatTreated,North,497.31
7075,HeatTreated,North,499.09
7075,HeatTreated,North,547.27
7075,HeatTreated,North,512.64
7075,HeatTreated,North,512.75
7075,HeatTreated,North,559.76
7075,HeatTreated,North,516.54
7075,HeatTreated,North,531.69
7075,HeatTreated,North,521.86
7075,HeatTreated,North,540.51
7075,HeatTreated,North,529.78
7075,HeatTreated,North,531.31
7075,HeatTreated,North,499.58
7075,HeatTreated,North,543.24
7075,HeatTreated,North,526.15
7075,HeatTreated,North,564.33
7075,HeatTreated,North,566.3
7075,HeatTreated,North,562.55
7075,HeatTreated,North,514.14
7075,HeatTreated,North,547.21
7075,HeatTreated,North,459.87
7075,HeatTreated,North,481.79
7075,HeatTreated,North,528.12
7075,HeatTreated,North,500.94
7075,HeatTreated,North,534.62
7075,HeatTreated,North,542.6
7075,HeatTreated,North,509.46
7075,HeatTreated,North,544.18
7075,HeatTreated,North,520.64
7075,HeatTreated,North,519.28
7075,HeatTreated,North,559.24
7075,HeatTreated,North,522.44
7075,HeatTreated,North,543.12
7075,HeatTreated,North,502.43
7075,HeatTreated,North,561.41
7075,HeatTreated,North,494.65
7075,HeatTreated,North,542.68
7075,HeatTreated,North,520.32
7075,HeatTreated,North,529.71
7075,HeatTreated,North,566.97
7075,HeatTreated,North,498.3
7075,HeatTreated,North,512.92
7075,HeatTreated,North,496.64
7075,HeatTreated,North,538.0
7075,HeatTreated,North,544.48
7075,HeatTreated,North,533.13
7075,HeatTreated,North,538.69
7075,HeatTreated,North,500.98
7075,HeatTreated,North,524.26
7075,HeatTreated,North,490.36
7075,HeatTreated,North,543.18
7075,HeatTreated,North,522.43
7075,HeatTreated,North,508.84
7075,HeatTreated,North,542.72
7075,HeatTreated,North,491.33
7075,HeatTreated,North,559.88
7075,HeatTreated,North,498.5
7075,HeatTreated,North,535.25
7075,HeatTreated,North,503.16
7075,HeatTreated,North,520.98
7075,HeatTreated,South,536.36
7075,HeatTreated,South,530.25
7075,HeatTreated,South,548.58
7075,HeatTreated,South,544.19
7075,HeatTreated,South,545.18
7075,HeatTreated,South,534.38
7075,HeatTreated,South,559.37
7075,HeatTreated,South,509.84
7075,HeatTreated,South,565.59
7075,HeatTreated,South,554.62
7075,HeatTreated,South,536.76
7075,HeatTreated,South,543.65
7075,HeatTreated,South,514.31
7075,HeatTreated,South,540.05
7075,HeatTreated,South,565.48
7075,HeatTreated,South,533.0
7075,HeatTreated,South,548.6
7075,HeatTreated,South,533.32
7075,HeatTreated,South,527.98
7075,HeatTreated,South,539.02
7075,HeatTreated,South,490.17
7075,HeatTreated,South,541.68
7075,HeatTreated,South,543.2
7075,HeatTreated,South,540.99
7075,HeatTreated,South,487.36
7075,HeatTreated,South,540.85
7075,HeatTreated,South,533.62
7075,HeatTreated,South,550.91
7075,HeatTreated,South,545.61
7075,HeatTreated,South,530.5
7075,HeatTreated,South,494.98
7075,HeatTreated,South,534.72
7075,HeatTreated,South,536.0
7075,HeatTreated,South,542.38
7075,HeatTreated,South,523.51
7075,HeatTreated,South,523.28
7075,HeatTreated,South,574.17
7075,HeatTreated,South,545.75
7075,HeatTreated,South,541.27
7075,HeatTreated,South,531.79
7075,HeatTreated,South,519.86
7075,HeatTreated,South,551.08
7075,HeatTreated,South,483.19
7075,HeatTreated,South,564.82
7075,HeatTreated,South,560.59
7075,HeatTreated,South,558.56
7075,HeatTreated,South,546.61
7075,HeatTreated,South,536.32
7075,HeatTreated,South,552.15
7075,HeatTreated,South,533.72
7075,HeatTreated,South,507.4
7075,HeatTreated,South,535.58
7075,HeatTreated,South,563.45
7075,HeatTreated,South,519.75
7075,HeatTreated,South,513.12
7075,HeatTreated,South,554.4
7075,HeatTreated,South,529.32
7075,HeatTreated,South,551.2
7075,HeatTreated,South,556.78
7075,HeatTreated,South,554.23
