date,series,value
2024-02-10,CpuLoad,70.5
2024-02-11,Throughput,7686.7
2024-02-11,Latency,55.05
2024-02-11,ErrorRate,0.0154
2024-02-11,CpuLoad,72.3
2024-02-12,Throughput,7649.1
2024-02-12,Latency,53.5
2024-02-12,ErrorRate,0.0167
2024-02-12,CpuLoad,73.8
2024-02-13,Throughput,7581.0
2024-02-13,Latency,51.38
2024-02-13,ErrorRate,0.0179
2024-02-13,CpuLoad,74.7
2024-02-14,Throughput,7486.4
2024-02-14,Latency,48.93
2024-02-14,ErrorRate,0.0191
2024-02-14,CpuLoad,75.0
